19,30.03
19.5,30.48
20,30.95
20.5,31.44
21,31.95
21.5,32.49
22,33.05
22.5,33.63
23,34.23
23.5,34.85
24,35.49
24.5,36.15
25,36.84
25.5,37.55
26,38.28
26.5,39.02
27,39.79
27.5,40.58
28,41.39
28.5,42.23
29,43.08
29.5,43.94
30,44.83
30.5,45.74
31,46.66
31.5,47.6
32,48.55
32.5,49.51
33,50.49
33.5,51.48
34,52.48
34.5,53.48
35,54.49
35.5,55.51
36,56.53
36.5,57.56
37,58.59
37.5,59.61
38,60.64
38.5,61.67
39,62.7
39.5,63.73
40,64.75
40.5,65.77
41,66.79
41.5,67.8
42,68.81
42.5,69.81
43,70.81
43.5,71.8
44,72.79
44.5,73.77
45,74.75
45.5,75.71
46,76.67
46.5,77.63
47,78.57
47.5,79.51
48,80.44
48.5,81.37
49,82.28
49.5,83.19
50,84.09
50.5,84.99
51,85.87
51.5,86.75
52,87.62
52.5,88.48
53,89.34
53.5,90.18
54,91.02
54.5,91.85
55,92.68
55.5,93.49
56,94.3
56.5,95.1
57,95.9
57.5,96.68
58,97.46
58.5,98.23
59,98.99
59.5,99.75
60,100.5
60.5,101.24
61,101.97
61.5,102.7
62,103.42
62.5,104.13
63,104.84
63.5,105.54
64,106.23
64.5,106.91
65,107.59
65.5,108.26
66,108.93
66.5,109.59
67,110.24
67.5,110.89
68,111.52
68.5,112.16
69,112.79
69.5,113.41
70,114.02
70.5,114.63
71,115.23
71.5,115.83
72,116.42
72.5,117
73,117.58
73.5,118.15
74,118.72
74.5,119.28
75,119.84
75.5,120.39
76,120.93
76.5,121.47
77,122.01
77.5,122.54
78,123.06
78.5,123.58
79,124.09
79.5,124.6
80,125.1
80.5,125.6
81,126.09
81.5,126.58
82,127.06
82.5,127.54
83,128.02
83.5,128.49
84,128.95
84.5,129.41
85,129.86
85.5,130.31
86,130.76
86.5,131.2
87,131.64
87.5,132.07
88,132.5
88.5,132.93
89,133.35
89.5,133.76
90,134.17
90.5,134.58
91,134.98
91.5,135.38
92,135.78
92.5,136.17
93,136.56
93.5,136.94
94,137.32
94.5,137.7
95,138.07
95.5,138.44
96,138.8
96.5,139.16
97,139.52
